"filename", "language", "JSON", "PHP", "HTML", "JavaScript", "Python", "CSS", "Markdown", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\search_project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 58, 0, 0, 16, 74
"c:\xampp\htdocs\search_project\composer.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\search_project\config\config.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\xampp\htdocs\search_project\config\reconstruct\build.py", "Python", 0, 0, 0, 0, 74, 0, 0, 0, 10, 26, 110
"c:\xampp\htdocs\search_project\database\links.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 136, 24, 16, 176
"c:\xampp\htdocs\search_project\database\scoredb.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 616, 76, 41, 733
"c:\xampp\htdocs\search_project\database\search_score_2015.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 121, 24, 16, 161
"c:\xampp\htdocs\search_project\database\search_score_2016.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 121, 24, 16, 161
"c:\xampp\htdocs\search_project\database\search_score_2017.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 124, 24, 16, 164
"c:\xampp\htdocs\search_project\database\search_score_2018.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 124, 24, 16, 164
"c:\xampp\htdocs\search_project\database\search_score_2019.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 129, 24, 16, 169
"c:\xampp\htdocs\search_project\database\search_score_2020.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 130, 24, 16, 170
"c:\xampp\htdocs\search_project\database\search_score_2021.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 130, 24, 16, 170
"c:\xampp\htdocs\search_project\database\ti_le_choi.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 148, 24, 16, 188
"c:\xampp\htdocs\search_project\expand\css\root.css", "CSS", 0, 0, 0, 0, 0, 117, 0, 0, 1, 21, 139
