"filename", "language", "Markdown", "PHP", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\search_project\README.md", "Markdown", -38, 0, 0, 0, 0, 0, -4, -42
"c:\xampp\htdocs\search_project\docs_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 45, 0, 9, 54
"c:\xampp\htdocs\search_project\docs_page\changelog.html", "HTML", 0, 0, 208, 0, 0, 0, 43, 251
"c:\xampp\htdocs\search_project\docs_page\error_page.html", "HTML", 0, 0, 71, 0, 0, 0, 18, 89
"c:\xampp\htdocs\search_project\docs_page\find_page.html", "HTML", 0, 0, 54, 0, 0, 1, 10, 65
"c:\xampp\htdocs\search_project\docs_page\index.html", "HTML", 0, 0, -110, 0, 0, 0, -20, -130
"c:\xampp\htdocs\search_project\docs_page\index.php", "PHP", 0, 115, 0, 0, 0, 11, 24, 150
"c:\xampp\htdocs\search_project\docs_page\js\find.js", "JavaScript", 0, 0, 0, 74, 0, 1, 28, 103
"c:\xampp\htdocs\search_project\docs_page\js\main.js", "JavaScript", 0, 0, 0, 18, 0, 0, 3, 21
"c:\xampp\htdocs\search_project\docs_page\overview.html", "HTML", 0, 0, 8, 0, 0, 0, 1, 9
"c:\xampp\htdocs\search_project\expand\activity.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\search_project\expand\css\uicons-bold-rounded.css", "CSS", 0, 0, 0, 0, 3139, 0, 3, 3142
"c:\xampp\htdocs\search_project\expand\header.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\search_project\expand\js\activity.js", "JavaScript", 0, 0, 0, 17, 0, 0, 3, 20
"c:\xampp\htdocs\search_project\expand\js\create-lists.js", "JavaScript", 0, 0, 0, 0, 0, -1, -5, -6
"c:\xampp\htdocs\search_project\expand\js\hide-nav.js", "JavaScript", 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\search_project\expand\menu.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\search_project\expand\mini-header.html", "HTML", 0, 0, 12, 0, 0, 0, 2, 14
"c:\xampp\htdocs\search_project\expand\php\tracking.php", "PHP", 0, 14, 0, 0, 0, 1, 5, 20
"c:\xampp\htdocs\search_project\expand\webfonts\uicons-bold-rounded.css", "CSS", 0, 0, 0, 0, 3139, 0, 3, 3142
"c:\xampp\htdocs\search_project\expand\webfonts\uicons-bold-rounded.html", "HTML", 0, 0, 6388, 0, 0, 0, 2110, 8498
"c:\xampp\htdocs\search_project\home_page\index.html", "HTML", 0, 0, -45, 0, 0, 3, -1, -43
"c:\xampp\htdocs\search_project\home_page\js\main.js", "JavaScript", 0, 0, 0, 44, 0, 7, 20, 71
"c:\xampp\htdocs\search_project\printing_page\index.php", "PHP", 0, -2, 0, 0, 0, 0, -1, -3
"c:\xampp\htdocs\search_project\printing_page\ratio_figure.php", "PHP", 0, 208, 0, 0, 0, 0, 39, 247
"c:\xampp\htdocs\search_project\printing_page\ratio_firgue.php", "PHP", 0, -206, 0, 0, 0, 0, -35, -241
"c:\xampp\htdocs\search_project\printing_page\school_eval.php", "PHP", 0, 3, 0, 0, 0, 0, -2, 1
"c:\xampp\htdocs\search_project\printing_page\school_list.php", "PHP", 0, 2, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\search_project\printing_page\year_range_search.php", "PHP", 0, 7, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\search_project\visualization_page\group_comparision.php", "PHP", 0, 5, 0, 0, 0, 0, 2, 7
"c:\xampp\htdocs\search_project\visualization_page\index.php", "PHP", 0, -1, 0, 0, 0, 1, 0, 0
"c:\xampp\htdocs\search_project\visualization_page\ratio_figure.php", "PHP", 0, 151, 0, 0, 0, 0, 35, 186
"c:\xampp\htdocs\search_project\visualization_page\ratio_firgue.php", "PHP", 0, -144, 0, 0, 0, 0, -35, -179
"c:\xampp\htdocs\search_project\visualization_page\school_comparision.php", "PHP", 0, 5, 0, 0, 0, 0, 2, 7
"c:\xampp\htdocs\search_project\visualization_page\year_range_comparision.php", "PHP", 0, 9, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\search_project\visualization_page\year_range_search.php", "PHP", 0, 10, 0, 0, 0, 0, -1, 9
"Total", "-", -38, 180, 6590, 163, 6323, 24, 2262, 15504
