"filename", "language", "HTML", "JSON", "Markdown", "PHP", "YAML", "CSS", "JavaScript", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\search_project\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\search_project\README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 13, 49
"c:\xampp\htdocs\search_project\config\config.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 4, 7, 25
"c:\xampp\htdocs\search_project\config\reconstruct\build.py", "Python", 0, 0, 0, 0, 0, 0, 0, 74, 10, 26, 110
"c:\xampp\htdocs\search_project\config\schoolID.php", "PHP", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\search_project\docs_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 337, 0, 0, 1, 70, 408
"c:\xampp\htdocs\search_project\docs_page\changelog.html", "HTML", 208, 0, 0, 0, 0, 0, 0, 0, 0, 43, 251
"c:\xampp\htdocs\search_project\docs_page\error_page.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 18, 89
"c:\xampp\htdocs\search_project\docs_page\filter_page.html", "HTML", 178, 0, 0, 0, 0, 0, 0, 0, 0, 34, 212
"c:\xampp\htdocs\search_project\docs_page\find_page.html", "HTML", 54, 0, 0, 0, 0, 0, 0, 0, 1, 10, 65
"c:\xampp\htdocs\search_project\docs_page\index.php", "PHP", 0, 0, 0, 115, 0, 0, 0, 0, 11, 24, 150
"c:\xampp\htdocs\search_project\docs_page\js\find.js", "JavaScript", 0, 0, 0, 0, 0, 0, 74, 0, 1, 28, 103
"c:\xampp\htdocs\search_project\docs_page\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\xampp\htdocs\search_project\docs_page\overview.html", "HTML", 149, 0, 0, 0, 0, 0, 0, 0, 0, 24, 173
"c:\xampp\htdocs\search_project\docs_page\printing_page.html", "HTML", 94, 0, 0, 0, 0, 0, 0, 0, 0, 18, 112
"c:\xampp\htdocs\search_project\docs_page\references.html", "HTML", 216, 0, 0, 0, 0, 0, 0, 0, 0, 60, 276
"c:\xampp\htdocs\search_project\docs_page\search_page.html", "HTML", 85, 0, 0, 0, 0, 0, 0, 0, 0, 20, 105
"c:\xampp\htdocs\search_project\docs_page\visualization_page.html", "HTML", 160, 0, 0, 0, 0, 0, 0, 0, 0, 28, 188
"c:\xampp\htdocs\search_project\error\400.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\xampp\htdocs\search_project\error\401.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\xampp\htdocs\search_project\error\403.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\xampp\htdocs\search_project\error\404.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\search_project\error\503.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\xampp\htdocs\search_project\error\css\style404.css", "CSS", 0, 0, 0, 0, 0, 93, 0, 0, 0, 13, 106
"c:\xampp\htdocs\search_project\expand\activity.php", "PHP", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\search_project\expand\css\root.css", "CSS", 0, 0, 0, 0, 0, 317, 0, 0, 1, 61, 379
"c:\xampp\htdocs\search_project\expand\css\uicons-bold-rounded.css", "CSS", 0, 0, 0, 0, 0, 3139, 0, 0, 0, 3, 3142
"c:\xampp\htdocs\search_project\expand\css\uicons-regular-rounded.css", "CSS", 0, 0, 0, 0, 0, 3016, 0, 0, 0, 3, 3019
"c:\xampp\htdocs\search_project\expand\footer.html", "HTML", 219, 0, 0, 0, 0, 0, 0, 0, 1, 40, 260
